name, Exec Time, Iterations, Prep Time, Weight, Edges
random-Gnm-1000000x1000000.gr,69.0,8,26.44,36483787,837935,
2nd run,64.2,8,24.22,36483787,837935,
random-Gnm-1000000x10000000.gr,135.8,8,13.55,6470014,999999,
2nd run,125.0,8,12.67,6470014,999999,
random-Gnm-1000000x100000000.gr,273.7,4,14.85,1178537,999999,
2nd run,287.8,4,14.56,1178537,999999,
random-Gnm-1000000x20000000.gr,144.4,6,12.95,3494769,999999,
2nd run,145.2,6,13.33,3494769,999999,
random-Gnm-1000000x5000000.gr,92.7,8,13.65,12408996,999951,
2nd run,89.9,8,12.75,12408996,999951,
random-Gnm-1000000x50000000.gr,293.5,7,13.14,1734820,999999,
2nd run,297.8,7,13.75,1734820,999999,
rmat-1000000x1000000-a0.45b0.15c0.15d0.25.gr,50.1,7,17.27,13901358,447788,
2nd run,48.8,7,16.91,13901358,447788,
rmat-1000000x10000000-a0.45b0.15c0.15d0.25.gr,60.4,4,14.68,3108966,524048,
2nd run,62.3,4,14.01,3108966,524048,
rmat-1000000x100000000-a0.45b0.15c0.15d0.25.gr,162.3,3,15.95,643519,524287,
2nd run,157.3,3,15.65,643519,524287,
rmat-1000000x20000000-a0.45b0.15c0.15d0.25.gr,77.1,4,12.86,1709932,524280,
2nd run,73.7,4,12.91,1709932,524280,
rmat-1000000x5000000-a0.45b0.15c0.15d0.25.gr,55.0,5,14.23,5646423,521678,
2nd run,55.7,5,13.97,5646423,521678,
rmat-1000000x50000000-a0.45b0.15c0.15d0.25.gr,101.1,3,14.36,882467,524287,
2nd run,91.5,3,14.27,882467,524287,
ssca2-1000000x11820688-interclpr0.5-maxcls20.gr,297.1,12,191.29,7593428,999526,
2nd run,319.4,12,211.27,7593428,999526,
ssca2-1000000x119753704-interclpr0.5-maxcls200.gr,1395.3,11,879.03,1361194,999992,
2nd run,1425.5,11,852.07,1361194,999992,
ssca2-1000000x2797005-interclpr0.25-maxcls5.gr,63.2,8,21.06,25469223,949283,
2nd run,62.5,8,20.72,25469223,949283,
ssca2-1000000x29698831-interclpr0.5-maxcls50.gr,605.0,12,403.32,3498701,999915,
2nd run,648.1,12,430.19,3498701,999915,
ssca2-1000000x3193176-interclpr0.5-maxcls5.gr,86.6,11,29.23,21824111,993240,
2nd run,86.4,11,28.66,21824111,993240,
ssca2-1000000x5697981-interclpr0.25-maxcls10.gr,413.1,11,347.41,15859009,985246,
2nd run,393.7,11,331.47,15859009,985246,
ssca2-1000000x59618475-interclpr0.5-maxcls100.gr,964.5,11,653.62,2044606,999983,
2nd run,683.8,11,435.92,2044606,999983,
